Technischer Schlüssel,Schluessel,Prognoseraum,Angebotsmieten,,,,,,,,,,
101,101,Zentrum,19.52,,,,,,,,,,
102,102,Moabit,15.98,,,,,,,,,,
103,103,Gesundbrunnen,10.7,,,,,,,,,,
104,104,Wedding,11.42,,,,,,,,,,
201,201,Kreuzberg Nord,9.64,,,,,,,,,,
202,202,Kreuzberg Süd,15.82,,,,,,,,,,
203,203,Kreuzberg Ost,13.63,,,,,,,,,,
204,204,Friedrichshain West,14,61,,,,,,,,,,
205,205,Friedrichshain Ost,15.81,,,,,,,,,,
301,301,Buch,7.85,,,,,,,,,,
302,302,Nördliches Pankow,11.61,,,,,,,,,,
303,303,Nördliches Weißensee,11.61,,,,,,,,,,
304,304,Südliches Pankow,12.94,,,,,,,,,,
305,305,Südliches Weißensee,13.42,,,,,,,,,,
306,306,Nördlicher Prenzlauer Berg,13.74,,,,,,,,,,
307,307,Südlicher Prenzlauer Berg,15.98,,,,,,,,,,
401,401,Charlottenburg-Wilmersdorf 1,6.79,,,,,,,,,,
402,402,Charlottenburg-Wilmersdorf 2,11.87,,,,,,,,,,
403,403,Charlottenburg-Wilmersdorf 3,14,4,,,,,,,,,,
404,404,Charlottenburg-Wilmersdorf 4,16.18,,,,,,,,,,
405,405,Charlottenburg-Wilmersdorf 5,16.49,,,,,,,,,,
406,406,Charlottenburg-Wilmersdorf 6,undefined,,,,,,,,,,
501,501,Spandau 1,9.32,,,,,,,,,,
502,502,Spandau 2,8.12,,,,,,,,,,
503,503,Spandau 3,8.75,,,,,,,,,,
504,504,Spandau 4,8.67,,,,,,,,,,
601,601,Region A,13.14,,,,,,,,,,
602,602,Region B,9.47,,,,,,,,,,
603,603,Region C,12.41,,,,,,,,,,
604,604,Region D,13.36,,,,,,,,,,
701,701,Schöneberg Nord,12.09,,,,,,,,,,
702,702,Schöneberg Süd,13.22,,,,,,,,,,
703,703,Friedenau,13.86,,,,,,,,,,
704,704,Tempelhof,11.42,,,,,,,,,,
705,705,Mariendorf,8.68,,,,,,,,,,
706,706,Marienfelde,8.36,,,,,,,,,,
707,707,Lichtenrade,8.36,,,,,,,,,,
801,801,Neukölln,11.89,,,,,,,,,,
802,802,Britz/Buckow,8.85,,,,,,,,,,
803,803,Gropiusstadt,7.16,,,,,,,,,,
804,804,Buckow Nord/Rudow,7.88,,,,,,,,,,
901,901,Treptow-Köpenick 1,12.88,,,,,,,,,,
902,902,Treptow-Köpenick 2,11.88,,,,,,,,,,
903,903,Treptow-Köpenick 3,11.45,,,,,,,,,,
904,904,Treptow-Köpenick 4,9.22,,,,,,,,,,
905,905,Treptow-Köpenick 5,12.27,,,,,,,,,,
1001,1001,Marzahn,7.36,,,,,,,,,,
1002,1002,Hellersdorf,9.78,,,,,,,,,,
1003,1003,Biesdorf,11.54,,,,,,,,,,
1004,1004,Kaulsdorf/Mahlsdorf,11.25,,,,,,,,,,
1101,1101,Hohenschönhausen Nord,7.32,,,,,,,,,,
1102,1102,Hohenschönhausen Süd,9.47,,,,,,,,,,
1103,1103,Lichtenberg Nord,9.43,,,,,,,,,,
1104,1104,Lichtenberg Mitte,10.12,,,,,,,,,,
1105,1105,Lichtenberg Süd,12.16,,,,,,,,,,
1210,1210,Reinickendorf Ost,9.4,,,,,,,,,,
1221,1221,Tegel,9.13,,,,,,,,,,
1222,1222,Heiligensee/Konradshöhe,11.06,,,,,,,,,,
1223,1223,Frohnau/Hermsdorf,11.06,,,,,,,,,,
1230,1230,Waidmannslust,9.22,,,,,,,,,,
